Name,Value
Isleworks Potion,33
Isleworks Firesand,33
Isleworks Grilled Clam,33
Isleworks Necklace,33
Isleworks Sauerkraut,48
Isleworks Baked Pumpkin,48
Isleworks Culinary Knife,52
Isleworks Brush,52
Isleworks Boiled Egg,52
Isleworks Earrings,52
Isleworks Butter,52
Isleworks Parsnip Salad,57
Isleworks Rope,43
Isleworks Squid Ink,43
Isleworks Tomato Relish,62
Isleworks Corn Flakes,62
Isleworks Wooden Chair,50
Isleworks Coral Ring,50
Isleworks Barbut,50
Isleworks Macuahuitl,50
Isleworks Tunic,86
Isleworks Hora,86
Isleworks Brick Counter,57
Isleworks Sweet Popoto,86
Isleworks Caramels,97
Isleworks Ribbon,64
Isleworks Cavalier's Hat,97
Isleworks Horn,97
Isleworks Salt Cod,64
Isleworks Essential Draught,64
Isleberry Jam,93
Isleworks Onion Soup,93
Islefish Pie,93
Isleworks Vegetable Juice,93
Isleworks Pumpkin Pudding,93
Isleworks Sheepfluff Rug,108
Isleworks Garden Scythe,108
Bronze Sheep,76
Isleworks Growth Formula,163
Isleworks Garnet Rapier,163
Isleworks Spruce Round Shield,163
Isleworks Shark Oil,163
Isleworks Silver Ear Cuffs,163
Isleworks Pickled Radish,124
Isleworks Iron Axe,86
Isleworks Quartz Ring,86
Isleworks Porcelain Vase,86
Isleworks Bed,144
Isleworks Scale Fingers,144
Isleworks Crook,144